sample,sex,hap1,hap2
HG01928,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01928/assemblies/HG01928_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01928/assemblies/HG01928_mat_hprc_r2_v1.0.1.fa.gz
HG01934,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01934/assemblies/HG01934_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01934/assemblies/HG01934_mat_hprc_r2_v1.0.1.fa.gz
HG01940,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01940/assemblies/HG01940_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01940/assemblies/HG01940_mat_hprc_r2_v1.0.1.fa.gz
HG01943,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01943/assemblies/HG01943_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01943/assemblies/HG01943_mat_hprc_r2_v1.0.1.fa.gz
HG01952,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01952/assemblies/HG01952_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01952/assemblies/HG01952_mat_hprc_r2_v1.0.1.fa.gz
HG01960,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01960/assemblies/HG01960_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01960/assemblies/HG01960_mat_hprc_r2_v1.0.1.fa.gz
HG01969,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01969/assemblies/HG01969_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01969/assemblies/HG01969_mat_hprc_r2_v1.0.1.fa.gz
HG01975,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01975/assemblies/HG01975_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01975/assemblies/HG01975_mat_hprc_r2_v1.0.1.fa.gz
HG01978,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01978/assemblies/HG01978_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01978/assemblies/HG01978_mat_hprc_r2_v1.0.1.fa.gz
HG01981,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01981/assemblies/HG01981_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01981/assemblies/HG01981_mat_hprc_r2_v1.0.1.fa.gz
HG01993,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01993/assemblies/HG01993_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG01993/assemblies/HG01993_mat_hprc_r2_v1.0.1.fa.gz
HG02004,female,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02004/assemblies/HG02004_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02004/assemblies/HG02004_mat_hprc_r2_v1.0.1.fa.gz
HG02015,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02015/assemblies/HG02015_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02015/assemblies/HG02015_mat_hprc_r2_v1.0.1.fa.gz
HG02027,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02027/assemblies/HG02027_pat_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02027/assemblies/HG02027_mat_hprc_r2_v1.0.1.fa.gz
HG02040,male,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02040/assemblies/HG02040_hap1_hprc_r2_v1.0.1.fa.gz,/gpfs/gibbs/pi/ycgh/wl474/HPRC_Release_2/HG02040/assemblies/HG02040_hap2_hprc_r2_v1.0.1.fa.gz
